cnpj;nome_fantasia;cnae_fiscal_principal;descricao_cnae;segmento_varejo;exposicao_ecommerce;bairro;bairro_normalizado;eh_centro;data_inicio_atividade;situacao_cadastral;descricao_situacao_cadastral;baixada;data_fechamento;ano_fechamento;mes_fechamento;periodo_fechamento;fechou_desde_2000
00501366000144;MAXIMO INFORMATICA;4789007;Comércio varejista de equipamentos para escritório;Outros varejos;Média;CENTRO;CENTRO;True;1995-02-22;08;BAIXADA;True;1998-09-30;1998;9;Antes de 2000;False
00505118000171;;4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;Farmacêutico;Média;PIRACICAMIRIM;PIRACICAMIRIM;False;1995-03-21;08;BAIXADA;True;2003-10-16;2003;10;2000-2009;True
00947775000330;MARICLAUDIA;4755503;Comercio varejista de artigos de cama, mesa e banho;Casa e decoração;Alta;VILA REZENDE;VILA REZENDE;False;2004-07-27;08;BAIXADA;True;2016-05-06;2016;5;2016-2019;True
00511042000197;PRONTO-ODONTO;4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;Farmacêutico;Média;BAIRRO ALTO;BAIRRO ALTO;False;1995-03-22;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
02132374000196;;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;VILA REZENDE;VILA REZENDE;False;1997-09-26;08;BAIXADA;True;2011-08-10;2011;8;2010-2015;True
00513532000122;SHOW- SAT;4752100;Comércio varejista especializado de equipamentos de telefonia e comunicação;Tecnologia;Alta;PAULICEIA;PAULICEIA;False;1995-03-23;08;BAIXADA;True;2020-10-01;2020;10;2020-2021;True
03830228000105;VENT-LAR;4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;Eletroeletrônicos;Alta;BAIRRO ALTO;BAIRRO ALTO;False;2000-05-11;08;BAIXADA;True;2015-02-09;2015;2;2010-2015;True
00526395000160;MARINA MODA;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;CENTRO;CENTRO;True;1995-03-30;08;BAIXADA;True;1998-12-31;1998;12;Antes de 2000;False
02154746000185;COLSHOP;4754701;Comércio varejista de móveis;Casa e decoração;Alta;PAULISTA;PAULISTA;False;1997-09-29;08;BAIXADA;True;1997-12-31;1997;12;Antes de 2000;False
00535171000115;FRIAS JORDAN;4741500;Comércio varejista de tintas e materiais para pintura;Casa e construção;Média;SAO JUDAS;SAO JUDAS;False;1995-04-03;08;BAIXADA;True;2002-11-26;2002;11;2000-2009;True
02155997000184;SORVETERIA E BOMBONIERE SEDUCAO;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;Outros varejos;Média;VILA REZENDE;VILA REZENDE;False;1997-09-25;04;INAPTA;False;;;;;False
02156657000178;;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;JD BRASILIA;JD BRASILIA;False;1997-09-26;08;BAIXADA;True;2004-04-26;2004;4;2000-2009;True
05509878000170;;4724500;Comércio varejista de hortifrutigranjeiros;Varejo alimentar;Baixa/Não direta;VILA INDUSTRIAL;VILA INDUSTRIAL;False;2003-02-12;04;INAPTA;False;;;;;False
05509895000108;;4757100;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;Eletroeletrônicos;Alta;ALTO;ALTO;False;2003-02-13;04;INAPTA;False;;;;;False
00542933000100;;4744001;Comércio varejista de ferragens e ferramentas;Casa e construção;Média;VL REZENDE;VL REZENDE;False;1995-04-06;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
